filename,intensity
40 artery 2.tif,32.4560697518444
40 artery 3.tif,24.1663892835397
40 vein 1.tif,63.6415101991159
40 vein 2.tif,54.6870641169854
40 vein 3.tif,113.042516489092
5 artery 1.tif,50.4660033167496
5 artery 2.tif,
5 artery 3.tif,
5 vein 1.tif,93.535595337219
5 vein 2.tif,121.193982198142
5 vein 3.tif,112.69826386659
6 artery 1.tif,47.1055780113177
6 artery 2.tif,57.4607444479199
6 artery 3.tif,
6 vein 1.tif,61.308879590888
6 vein 2.tif,132.462683393579
6 vein 3.tif,126.775123189488
7 artery 1.tif,13.0398768509016
7 vein 1.tif,45.2083333333333
7 vein 2.tif,14.629755270172
7 vein 3.tif,91.5300961052099
8 artery 1.tif,27.4223777183234
8 artery 2.tif,
8 artery 3.tif,
8 vein 1.tif,43.8169052863436
8 vein 2.tif,55.1216145378298
8 vein 3.tif,83.8430508767384
9 artery 1.tif,76.6723010277754
9 artery 2.tif,49.663426953394
9 artery 3.tif,40.3827804437026
9 vein 1.tif,70.6140615823475
9 vein 2.tif,72.5609413965087
9 vein 3.tif,81.5427822505149
